,place_id,location,dataset
13395,road_62,"{'type': 'LineString', 'coordinates': [[-9.136912, 38.734521], [-9.137741, 38.733381], [-9.138279, 38.732804], [-9.138356, 38.732765], [-9.140482, 38.732914]]}",waze
13692,road_63,"{'type': 'LineString', 'coordinates': [[-9.140568, 38.727595], [-9.142259, 38.727683], [-9.1434, 38.727754]]}",waze
14004,road_64,"{'type': 'LineString', 'coordinates': [[-9.144014, 38.722569], [-9.143818, 38.721919], [-9.143628, 38.721626], [-9.14345, 38.721417], [-9.142986, 38.721151], [-9.142861, 38.721032]]}",waze
14385,road_65,"{'type': 'LineString', 'coordinates': [[-9.141429, 38.734293], [-9.143052, 38.73406], [-9.143201, 38.734039], [-9.143874, 38.733943], [-9.143917, 38.733923], [-9.143923, 38.733891]]}",waze
14471,road_66,"{'type': 'LineString', 'coordinates': [[-9.140737, 38.722374], [-9.141241, 38.721839], [-9.141674, 38.721176], [-9.141914, 38.720612]]}",waze
15944,road_67,"{'type': 'LineString', 'coordinates': [[-9.14826, 38.725625], [-9.148114, 38.725629], [-9.147752, 38.725239], [-9.146803, 38.724136]]}",waze
16253,road_68,"{'type': 'LineString', 'coordinates': [[-9.152413, 38.725169], [-9.152028, 38.725139], [-9.150998, 38.725204], [-9.150763, 38.725153]]}",waze
17096,road_69,"{'type': 'LineString', 'coordinates': [[-9.143461, 38.729321], [-9.140519, 38.729949]]}",waze
17123,road_70,"{'type': 'LineString', 'coordinates': [[-9.152436, 38.71835], [-9.153018, 38.717958], [-9.153466, 38.717673], [-9.154322, 38.717131], [-9.155054, 38.717011]]}",waze
17789,road_71,"{'type': 'LineString', 'coordinates': [[-9.14517, 38.724974], [-9.14595, 38.725856], [-9.146779, 38.72675]]}",waze
18015,road_72,"{'type': 'LineString', 'coordinates': [[-9.157692, 38.717155], [-9.158223, 38.717451], [-9.15817, 38.717834], [-9.158201, 38.717986], [-9.158286, 38.71815], [-9.1584, 38.718249]]}",waze
18175,road_73,"{'type': 'LineString', 'coordinates': [[-9.140427, 38.735211], [-9.140008, 38.735223], [-9.138818, 38.735256], [-9.138444, 38.735291], [-9.138028, 38.735378], [-9.137648, 38.735502], [-9.13725, 38.73568], [-9.13696, 38.735845]]}",waze
18258,road_74,"{'type': 'LineString', 'coordinates': [[-9.148155, 38.732376], [-9.14868, 38.731527]]}",waze
